kanji_raw,reading,audio_field_raw,rank,population,map_html,map_empty_html,kanji,audio_filename,map_filename,map_empty_filename,lat,lon,geocode_query,prefecture
吹田,すいた,[sound:pronunciation_ja_吹田.ogg],50,385.787,"<img src=""50_Suita.png"">","<img src=""japan pref.png"">",吹田,pronunciation_ja_吹田.ogg,50_Suita.png,japan pref.png,34.7594193,135.516835,"吹田市, Japan",大阪府
岡崎,おかざき,[sound:pronunciation_ja_岡崎.mp3],51,384.805,"<img src=""51_Okazaki.png"">","<img src=""japan pref.png"">",岡崎,pronunciation_ja_岡崎.mp3,51_Okazaki.png,japan pref.png,34.9548784,137.1728226,"岡崎市, Japan",愛知県
一宮,いちのみや,[sound:pronunciation_ja_一宮.ogg],52,379.981,"<img src=""52_Ichinomiya.png"">","<img src=""japan pref.png"">",一宮,pronunciation_ja_一宮.ogg,52_Ichinomiya.png,japan pref.png,35.304878,136.806915,"一宮市, Japan",愛知県
長野,ながの,[sound:pronunciation_ja_長野.mp3],53,373.251,"<img src=""53_Nagano.png"">","<img src=""japan pref.png"">",長野,pronunciation_ja_長野.mp3,53_Nagano.png,japan pref.png,36.6485851,138.1947664,"長野市, Japan",長野県
高崎,たかさき,[sound:pronunciation_ja_高崎.ogg],54,373.218,"<img src=""54_Takasaki.png"">","<img src=""japan pref.png"">",高崎,pronunciation_ja_高崎.ogg,54_Takasaki.png,japan pref.png,36.3220984,139.0032758,"高崎市, Japan",群馬県
豊橋,とよはし,[sound:pronunciation_ja_豊橋.mp3],55,372.134,"<img src=""55_Toyohashi.png"">","<img src=""japan pref.png"">",豊橋,pronunciation_ja_豊橋.mp3,55_Toyohashi.png,japan pref.png,34.769123,137.391461,"豊橋市, Japan",愛知県
和歌山,わかやま,[sound:pronunciation_ja_和歌山.ogg],56,356.858,"<img src=""56_Wakayama.png"">","<img src=""japan pref.png"">",和歌山,pronunciation_ja_和歌山.ogg,56_Wakayama.png,japan pref.png,34.2342931,135.1783549,"和歌山市, Japan",和歌山県
奈良,なら,[sound:pronunciation_ja_奈良.mp3],57,354.833,"<img src=""57_Nara.png"">","<img src=""japan pref.png"">",奈良,pronunciation_ja_奈良.mp3,57_Nara.png,japan pref.png,34.6845445,135.8048359,"奈良市, Japan",奈良県
川越,かわごえ,[sound:pronunciation_ja_川越.ogg],58,354.680,"<img src=""58_Kawagoe.png"">","<img src=""japan pref.png"">",川越,pronunciation_ja_川越.ogg,58_Kawagoe.png,japan pref.png,35.9251145,139.4856927,"川越市, Japan",埼玉県
高槻,たかつき,[sound:pronunciation_ja_高槻.ogg],59,352.876,"<img src=""59_Takatsuki.png"">","<img src=""japan pref.png"">",高槻,pronunciation_ja_高槻.ogg,59_Takatsuki.png,japan pref.png,34.8464785,135.6172204,"高槻市, Japan",大阪府
大津,おおつ,[sound:pronunciation_ja_大津.ogg],60,345.202,"<img src=""60_Otsu.png"">","<img src=""japan pref.png"">",大津,pronunciation_ja_大津.ogg,60_Otsu.png,japan pref.png,35.0177852,135.8548122,"大津市, Japan",滋賀県
所沢,ところざわ,[sound:pronunciation_ja_所沢.mp3],61,342.535,"<img src=""61_Tkorozawa.png"">","<img src=""japan pref.png"">",所沢,pronunciation_ja_所沢.mp3,61_Tkorozawa.png,japan pref.png,35.7987179,139.4696758,"所沢市, Japan",埼玉県
越谷,こしがや,[sound:pronunciation_ja_越谷.mp3],62,341.765,"<img src=""62_Koshigaya.png"">","<img src=""japan pref.png"">",越谷,pronunciation_ja_越谷.mp3,62_Koshigaya.png,japan pref.png,35.8903993,139.7908633,"越谷市, Japan",埼玉県
<a>磐</a><a>城</a>,いわき,[sound:pronunciation_ja_磐城.mp3],63,333.202,"<img src=""63_Iwaki.png"">","<img src=""japan pref.png"">",磐城,pronunciation_ja_磐城.mp3,63_Iwaki.png,japan pref.png,37.0504227,140.8876338,"磐城市, Japan",福島県
前橋,まえばし,[sound:pronunciation_ja_前橋.ogg],64,332.332,"<img src=""64_Maebashi.png"">","<img src=""japan pref.png"">",前橋,pronunciation_ja_前橋.ogg,64_Maebashi.png,japan pref.png,36.3893418,139.0632826,"前橋市, Japan",群馬県
旭川,あさひかわ,[sound:pronunciation_ja_旭川.ogg],65,329.513,"<img src=""65_Asahikawa.png"">","<img src=""japan pref.png"">",旭川,pronunciation_ja_旭川.ogg,65_Asahikawa.png,japan pref.png,43.770625,142.3649743,"旭川市, Japan",北海道
郡山,こおりやま,[sound:pronunciation_ja_郡山.ogg],66,327.872,"<img src=""66_Koriyama.png"">","<img src=""japan pref.png"">",郡山,pronunciation_ja_郡山.ogg,66_Koriyama.png,japan pref.png,37.404937,140.333381,"郡山市, Japan",福島県
高知,こうち,[sound:pronunciation_ja_高知.ogg],67,326.814,"<img src=""67_Kochi.png"">","<img src=""japan pref.png"">",高知,pronunciation_ja_高知.ogg,67_Kochi.png,japan pref.png,33.5588482,133.5310918,"高知市, Japan",高知県
那覇,なは,[sound:pronunciation_ja_那覇.ogg],68,317.832,"<img src=""68_Naha.png"">","<img src=""japan pref.png"">",那覇,pronunciation_ja_那覇.ogg,68_Naha.png,japan pref.png,26.2122345,127.6791452,"那覇市, Japan",沖縄県
春日井,かすがい,[sound:pronunciation_ja_春日井.mp3],69,308.832,"<img src=""69_Kasugai.png"">","<img src=""japan pref.png"">",春日井,pronunciation_ja_春日井.mp3,69_Kasugai.png,japan pref.png,35.273804,137.007459,"春日井市, Japan",愛知県
秋田,あきた,[sound:pronunciation_ja_秋田.mp3],70,307.885,"<img src=""70_Akita.png"">","<img src=""japan pref.png"">",秋田,pronunciation_ja_秋田.mp3,70_Akita.png,japan pref.png,39.7197629,140.1034669,"秋田市, Japan",秋田県
四日市,よっかいち,[sound:pronunciation_ja_四日市.mp3],71,305.744,"<img src=""71_Yokkaichi.png"">","<img src=""japan pref.png"">",四日市,pronunciation_ja_四日市.mp3,71_Yokkaichi.png,japan pref.png,34.9630151,136.6302658,"四日市, Japan",三重県
明石,あかし,[sound:pronunciation_ja_明石.ogg],72,303.838,"<img src=""72_Akashi.png"">","<img src=""japan pref.png"">",明石,pronunciation_ja_明石.ogg,72_Akashi.png,japan pref.png,34.6482884,134.993215,"明石市, Japan",兵庫県
久留米,くるめ,[sound:pronunciation_ja_久留米.mp3],73,303.496,"<img src=""73_Kurume.png"">","<img src=""japan pref.png"">",久留米,pronunciation_ja_久留米.mp3,73_Kurume.png,japan pref.png,33.3196545,130.5080625,"久留米市, Japan",福岡県
盛岡,もりおか,[sound:pronunciation_ja_盛岡.mp3],74,289.893,"<img src=""74_Morioka.png"">","<img src=""japan pref.png"">",盛岡,pronunciation_ja_盛岡.mp3,74_Morioka.png,japan pref.png,39.7021331,141.1545397,"盛岡市, Japan",岩手県
茨木,いばらき,[sound:pronunciation_ja_茨木.ogg],75,288.014,"<img src=""75_Ibaragi.png"">","<img src=""japan pref.png"">",茨木,pronunciation_ja_茨木.ogg,75_Ibaragi.png,japan pref.png,34.8161302,135.5685528,"茨木市, Japan",大阪府
福島,ふくしま,[sound:pronunciation_ja_福島.ogg],76,282.802,"<img src=""76_Fukushima.png"">","<img src=""japan pref.png"">",福島,pronunciation_ja_福島.ogg,76_Fukushima.png,japan pref.png,37.760777,140.4745807,"福島市, Japan",福島県
青森,あおもり,[sound:pronunciation_ja_青森.mp3],77,275.340,"<img src=""77_Aomori.png"">","<img src=""japan pref.png"">",青森,pronunciation_ja_青森.mp3,77_Aomori.png,japan pref.png,40.8222833,140.7472027,"青森市, Japan",青森県
津,つ,[sound:chrome_g3X8OXgG5K.mp3],78,274.759,"<img src=""78_Tsu.png"">","<img src=""japan pref.png"">",津,chrome_g3X8OXgG5K.mp3,78_Tsu.png,japan pref.png,34.7341973,136.5153283,"津市, Japan",三重県
水戸,みと,[sound:pronunciation_ja_水戸.ogg],79,270.810,"<img src=""79_Mito.png"">","<img src=""japan pref.png"">",水戸,pronunciation_ja_水戸.ogg,79_Mito.png,japan pref.png,36.3659174,140.4731743,"水戸市, Japan",茨城県
市原,いちはら,[sound:chrome_AJH87sv3WO.mp3],80,269.653,"<img src=""80_Ichihara.png"">","<img src=""japan pref.png"">",市原,chrome_AJH87sv3WO.mp3,80_Ichihara.png,japan pref.png,35.497775,140.1156996,"市原市, Japan",千葉県
長岡,ながおか,[sound:pronunciation_ja_長岡.mp3],81,267.115,"<img src=""81_Nagaoka.png"">","<img src=""japan pref.png"">",長岡,pronunciation_ja_長岡.mp3,81_Nagaoka.png,japan pref.png,37.446996,138.8512199,"長岡市, Japan",新潟県
八尾,やお,,82,264.654,"<img src=""82_Yao.png"">","<img src=""japan pref.png"">",八尾,,82_Yao.png,japan pref.png,34.6269018,135.6008668,"八尾市, Japan",大阪府
府中,ふちゅう,[sound:pronunciation_ja_府中.mp3],83,262.932,"<img src=""83_Fuchu.png"">","<img src=""japan pref.png"">",府中,pronunciation_ja_府中.mp3,83_Fuchu.png,japan pref.png,35.6693751,139.4774094,"府中市, Japan",東京都
福井,ふくい,[sound:pronunciation_ja_福井.mp3],84,262.501,"<img src=""84_Fukui.png"">","<img src=""japan pref.png"">",福井,pronunciation_ja_福井.mp3,84_Fukui.png,japan pref.png,36.061751,136.2260542,"福井市, Japan",福井県
加古川,かこがわ,[sound:pronunciation_ja_加古川.ogg],85,260.988,"<img src=""85_Kakogawa.png"">","<img src=""japan pref.png"">",加古川,pronunciation_ja_加古川.ogg,85_Kakogawa.png,japan pref.png,34.7569826,134.8412247,"加古川市, Japan",兵庫県
平塚,ひらつか,[sound:pronunciation_ja_平塚.mp3],86,258.524,"<img src=""86_Hiratsuka.png"">","<img src=""japan pref.png"">",平塚,pronunciation_ja_平塚.mp3,86_Hiratsuka.png,japan pref.png,35.3350609,139.3494345,"平塚市, Japan",神奈川県
下関,しものせき,[sound:pronunciation_ja_下関.ogg],87,255.199,"<img src=""87_shimonoseki.png"">","<img src=""japan pref.png"">",下関,pronunciation_ja_下関.ogg,87_shimonoseki.png,japan pref.png,33.9577116,130.9415455,"下関市, Japan",山口県
徳島,とくしま,[sound:pronunciation_ja_徳島.mp3],88,252.364,"<img src=""88_Tokushima.png"">","<img src=""japan pref.png"">",徳島,pronunciation_ja_徳島.mp3,88_Tokushima.png,japan pref.png,34.0698307,134.5550353,"徳島市, Japan",徳島県
函館,はこだて,[sound:pronunciation_ja_函館.ogg],89,251.271,"<img src=""89_Hakodate.png"">","<img src=""japan pref.png"">",函館,pronunciation_ja_函館.ogg,89_Hakodate.png,japan pref.png,41.768793,140.729008,"函館市, Japan",北海道
草加,そうか,[sound:pronunciation_ja_草加.ogg],90,248.037,"<img src=""90_Souka.png"">","<img src=""japan pref.png"">",草加,pronunciation_ja_草加.ogg,90_Souka.png,japan pref.png,35.8262233,139.8061784,"草加市, Japan",埼玉県
山形,やまがた,[sound:pronunciation_ja_山形.ogg],91,247.747,"<img src=""91_Yamagata.png"">","<img src=""japan pref.png"">",山形,pronunciation_ja_山形.ogg,91_Yamagata.png,japan pref.png,38.2553393,140.3400205,"山形市, Japan",山形県
富士,ふじ,[sound:pronunciation_ja_富士.mp3],92,245.489,"<img src=""92_Fuji.png"">","<img src=""japan pref.png"">",富士,pronunciation_ja_富士.mp3,92_Fuji.png,japan pref.png,35.161852,138.6763863,"富士市, Japan",静岡県
佐世保,させぼ,[sound:pronunciation_ja_佐世保.ogg],93,243.387,"<img src=""93_Sasebo.png"">","<img src=""japan pref.png"">",佐世保,pronunciation_ja_佐世保.ogg,93_Sasebo.png,japan pref.png,33.1799965,129.7152872,"佐世保市, Japan",長崎県
調布,ちょうふ,[sound:pronunciation_ja_調布.ogg],94,242.721,"<img src=""94_Chofu.png"">","<img src=""japan pref.png"">",調布,pronunciation_ja_調布.ogg,94_Chofu.png,japan pref.png,35.6506036,139.5407066,"調布市, Japan",東京都
