Prize_Type,Year,Laureate,Laureate_img,Rationale,Birth_Year,Death_Year,Portrait_URL,Nationality_1,Nationality_2,Nationality_3,Nationality_4,Nationality_img_1,Nationality_img_2,Nationality_img_3,Nationality_img_4,Flag_URL_1,Flag_URL_2,Flag_URL_3,Flag_URL_4
Economics,1972,Kenneth Arrow,/imgs/Laureates/Kenneth_Arrow_1921.jpg,for their pioneering contributions to general economic equilibrium theory and welfare theory,1921,2017,https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Kenneth_Arrow_close-up_%28cropped%29.jpg/119px-Kenneth_Arrow_close-up_%28cropped%29.jpg,United States,,,,/imgs/Flags/40px-Flag_of_the_United_States.svg.png,,,,https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/40px-Flag_of_the_United_States.svg.png,,,
Economics,1973,Wassily Leontief,/imgs/Laureates/Wassily_Leontief_1905.jpg,for the development of the input-output method and for its application to important economic problems,1905,1999,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Wassily_Leontief_close-up_%28cropped%29.jpg/120px-Wassily_Leontief_close-up_%28cropped%29.jpg,Soviet Union,United States,,,/imgs/Flags/40px-Flag_of_the_Soviet_Union.svg.png,/imgs/Flags/40px-Flag_of_the_United_States.svg.png,,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/40px-Flag_of_the_Soviet_Union.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/40px-Flag_of_the_United_States.svg.png,,
Economics,1974,Gunnar Myrdal,/imgs/Laureates/Gunnar_Myrdal_1898.jpg,"for their pioneering work in the theory of money and economic fluctuations and for their penetrating analysis of the interdependence of economic, social and institutional phenomena",1898,1987,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Gunnar_Myrdal_close-up_%28cropped%29.jpg/120px-Gunnar_Myrdal_close-up_%28cropped%29.jpg,Sweden,,,,/imgs/Flags/40px-Flag_of_Sweden.svg.png,,,,https://upload.wikimedia.org/wikipedia/en/thumb/4/4c/Flag_of_Sweden.svg/40px-Flag_of_Sweden.svg.png,,,
Economics,1974,Friedrich von Hayek,/imgs/Laureates/Friedrich_von_Hayek_1899.jpg,"for their pioneering work in the theory of money and economic fluctuations and for their penetrating analysis of the interdependence of economic, social and institutional phenomena",1899,1992,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Friedrich_Hayek_close-up_%28cropped%29.jpg/120px-Friedrich_Hayek_close-up_%28cropped%29.jpg,Austria,United Kingdom,,,/imgs/Flags/40px-Flag_of_Austria.svg.png,/imgs/Flags/40px-Flag_of_the_United_Kingdom.svg.png,,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Flag_of_Austria.svg/40px-Flag_of_Austria.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/a/ae/Flag_of_the_United_Kingdom.svg/40px-Flag_of_the_United_Kingdom.svg.png,,
Economics,1975,Leonid Kantorovich,/imgs/Laureates/Leonid_Kantorovich_1912.jpg,for their contributions to the theory of optimum allocation of resources,1912,1986,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Leonid_Kantorovich_close-up_%28cropped%29.jpg/120px-Leonid_Kantorovich_close-up_%28cropped%29.jpg,Soviet Union,,,,/imgs/Flags/40px-Flag_of_the_Soviet_Union.svg.png,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/40px-Flag_of_the_Soviet_Union.svg.png,,,
Economics,1975,Tjalling Koopmans,/imgs/Laureates/Tjalling_Koopmans_1910.jpg,for their contributions to the theory of optimum allocation of resources,1910,1985,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Tjalling_Koopmans_close-up_%28cropped%29.jpg/120px-Tjalling_Koopmans_close-up_%28cropped%29.jpg,Netherlands,United States,,,/imgs/Flags/40px-Flag_of_the_Netherlands.svg.png,/imgs/Flags/40px-Flag_of_the_United_States.svg.png,,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Flag_of_the_Netherlands.svg/40px-Flag_of_the_Netherlands.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/40px-Flag_of_the_United_States.svg.png,,
Economics,1976,Milton Friedman,/imgs/Laureates/Milton_Friedman_1912.jpg,"for his achievements in the fields of consumption analysis, monetary history and theory and for his demonstration of the complexity of stabilisation policy",1912,2006,https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Portrait_Of_Milton_Friedman_%282x3_cropped%29.jpg/120px-Portrait_Of_Milton_Friedman_%282x3_cropped%29.jpg,United States,,,,/imgs/Flags/40px-Flag_of_the_United_States.svg.png,,,,https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/40px-Flag_of_the_United_States.svg.png,,,
Economics,1977,Bertil Ohlin,/imgs/Laureates/Bertil_Ohlin_1899.jpg,for their pathbreaking contribution to the theory of international trade and international capital movements,1899,1979,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Bertil_Ohlin_close-up_%28cropped%29.jpg/120px-Bertil_Ohlin_close-up_%28cropped%29.jpg,Sweden,,,,/imgs/Flags/40px-Flag_of_Sweden.svg.png,,,,https://upload.wikimedia.org/wikipedia/en/thumb/4/4c/Flag_of_Sweden.svg/40px-Flag_of_Sweden.svg.png,,,
Economics,1977,James Meade,/imgs/Laureates/James_Meade_1907.jpg,for their pathbreaking contribution to the theory of international trade and international capital movements,1907,1995,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/James_Meade_close-up_%28cropped%29.jpg/84px-James_Meade_close-up_%28cropped%29.jpg,United Kingdom,,,,/imgs/Flags/40px-Flag_of_the_United_Kingdom.svg.png,,,,https://upload.wikimedia.org/wikipedia/en/thumb/a/ae/Flag_of_the_United_Kingdom.svg/40px-Flag_of_the_United_Kingdom.svg.png,,,
Economics,1978,Herbert A. Simon,/imgs/Laureates/Herbert_A_Simon_1916.jpg,for his pioneering research into the decision-making process within economic organizations,1916,2001,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Herbert_Simon_close-up_%28cropped%29.jpg/120px-Herbert_Simon_close-up_%28cropped%29.jpg,United States,,,,/imgs/Flags/40px-Flag_of_the_United_States.svg.png,,,,https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/40px-Flag_of_the_United_States.svg.png,,,
